model_id,model_label,horizon,outcome,predictor,robustness,fixed_effects,controls,standard_error_type,cluster_col,nobs,countries,variable,variable_role,coefficient,std_error,t_stat,r_squared,dropped_rows
E2-1,bucket_year_fe,1,annualized_export_growth_log,bucket,main,year,none,country_clustered,reporter_code,1839,60,intercept,control_or_fixed_effect,0.07730296437110967,0.04391072520810248,1.7604574737664684,0.2978878574226411,3
E2-1,bucket_year_fe,1,annualized_export_growth_log,bucket,main,year,none,country_clustered,reporter_code,1839,60,bucket_high_product_high_partner,main,0.008032054214474465,0.010368625252540828,0.7746498710141166,0.2978878574226411,3
E2-1,bucket_year_fe,1,annualized_export_growth_log,bucket,main,year,none,country_clustered,reporter_code,1839,60,bucket_high_product_low_partner,main,0.04288176786744717,0.012214520231885087,3.5107206057514677,0.2978878574226411,3
E2-1,bucket_year_fe,1,annualized_export_growth_log,bucket,main,year,none,country_clustered,reporter_code,1839,60,bucket_low_product_high_partner,main,0.0044025228755734,0.008265150862626604,0.5326609215907658,0.2978878574226411,3
E2-1,bucket_year_fe,1,annualized_export_growth_log,bucket,main,year,none,country_clustered,reporter_code,1839,60,year_1989,control_or_fixed_effect,0.004738518188853207,0.05263253847774739,0.09003020424060705,0.2978878574226411,3
E2-1,bucket_year_fe,1,annualized_export_growth_log,bucket,main,year,none,country_clustered,reporter_code,1839,60,year_1990,control_or_fixed_effect,-0.06725510962499857,0.04606463675280863,-1.4600160636433963,0.2978878574226411,3
E2-1,bucket_year_fe,1,annualized_export_growth_log,bucket,main,year,none,country_clustered,reporter_code,1839,60,year_1991,control_or_fixed_effect,-0.004064861651539883,0.04733837245013197,-0.08586821728655673,0.2978878574226411,3
E2-1,bucket_year_fe,1,annualized_export_growth_log,bucket,main,year,none,country_clustered,reporter_code,1839,60,year_1992,control_or_fixed_effect,-0.09914572418326417,0.04818184769729968,-2.0577401847713017,0.2978878574226411,3
E2-1,bucket_year_fe,1,annualized_export_growth_log,bucket,main,year,none,country_clustered,reporter_code,1839,60,year_1993,control_or_fixed_effect,0.04864596331199909,0.047154434005906826,1.0316307328788088,0.2978878574226411,3
E2-1,bucket_year_fe,1,annualized_export_growth_log,bucket,main,year,none,country_clustered,reporter_code,1839,60,year_1994,control_or_fixed_effect,0.08827113157939213,0.0454727791010047,1.9411862068804548,0.2978878574226411,3
E2-1,bucket_year_fe,1,annualized_export_growth_log,bucket,main,year,none,country_clustered,reporter_code,1839,60,year_1995,control_or_fixed_effect,-0.036935521850458695,0.04425888939439098,-0.8345334091266106,0.2978878574226411,3
E2-1,bucket_year_fe,1,annualized_export_growth_log,bucket,main,year,none,country_clustered,reporter_code,1839,60,year_1996,control_or_fixed_effect,-0.021077336649571603,0.05716873794544736,-0.368686408114946,0.2978878574226411,3
E2-1,bucket_year_fe,1,annualized_export_growth_log,bucket,main,year,none,country_clustered,reporter_code,1839,60,year_1997,control_or_fixed_effect,-0.079705404133242,0.04902066815031432,-1.6259550744767015,0.2978878574226411,3
